zip,lat,lon,state,state_code
85920,33.8279,-109.1283,Arizona,AZ
85924,34.4458,-109.6741,Arizona,AZ
85925,34.1077,-109.294,Arizona,AZ
85927,34.0052,-109.4664,Arizona,AZ
85930,34.0754,-109.8532,Arizona,AZ
85932,33.9531,-109.2092,Arizona,AZ
85936,34.501,-109.3796,Arizona,AZ
85938,34.1702,-109.3315,Arizona,AZ
85940,34.2575,-109.6929,Arizona,AZ
86028,35.2375,-109.5229,Arizona,AZ
86502,35.2375,-109.5229,Arizona,AZ
86503,36.1304,-109.6037,Arizona,AZ
86504,35.7445,-109.0765,Arizona,AZ
86505,35.7114,-109.542,Arizona,AZ
86506,35.2831,-109.207,Arizona,AZ
86507,36.4181,-109.2446,Arizona,AZ
86508,35.3539,-109.0537,Arizona,AZ
86511,35.6447,-109.0956,Arizona,AZ
86512,35.2164,-109.3337,Arizona,AZ
86514,36.7797,-109.359,Arizona,AZ
86515,35.6676,-109.0784,Arizona,AZ
86535,36.7773,-109.861,Arizona,AZ
86538,36.4083,-109.634,Arizona,AZ
86540,35.8964,-109.4487,Arizona,AZ
86544,35.2375,-109.5229,Arizona,AZ
86545,36.7181,-109.6259,Arizona,AZ
86547,36.5131,-109.4734,Arizona,AZ
86556,36.3071,-109.2176,Arizona,AZ
85602,31.9883,-110.2941,Arizona,AZ
85603,31.4086,-109.9117,Arizona,AZ
85605,32.3265,-109.487,Arizona,AZ
85606,32.0979,-109.9239,Arizona,AZ
85607,31.3511,-109.5447,Arizona,AZ
85608,31.4151,-109.596,Arizona,AZ
85609,32.0281,-110.0387,Arizona,AZ
85610,31.7139,-109.6193,Arizona,AZ
85613,31.5587,-110.3441,Arizona,AZ
85615,31.4035,-110.2047,Arizona,AZ
85616,31.6639,-110.3334,Arizona,AZ
85617,31.5121,-109.8438,Arizona,AZ
85620,31.3373,-109.9413,Arizona,AZ
85625,31.8885,-109.6119,Arizona,AZ
85626,31.3572,-109.5635,Arizona,AZ
85627,31.9995,-110.2862,Arizona,AZ
85630,31.8973,-110.2154,Arizona,AZ
85632,32.0423,-109.1748,Arizona,AZ
85635,31.5365,-110.2666,Arizona,AZ
85636,31.6687,-110.2801,Arizona,AZ
85638,31.7216,-110.0584,Arizona,AZ
85643,32.373,-109.8631,Arizona,AZ
85644,32.2529,-109.832,Arizona,AZ
85650,31.4892,-110.2153,Arizona,AZ
85655,31.3447,-109.5468,Arizona,AZ
85670,31.8801,-109.7543,Arizona,AZ
85671,31.5545,-110.3037,Arizona,AZ
85931,34.4513,-110.8644,Arizona,AZ
86001,35.1859,-111.662,Arizona,AZ
86002,35.1981,-111.6513,Arizona,AZ
86003,35.1981,-111.6513,Arizona,AZ
86004,35.2257,-111.5741,Arizona,AZ
86005,35.1545,-111.6789,Arizona,AZ
86011,35.1981,-111.6513,Arizona,AZ
86015,35.2381,-111.8335,Arizona,AZ
86016,35.7504,-111.6188,Arizona,AZ
86017,34.9412,-111.641,Arizona,AZ
86018,35.2563,-111.95,Arizona,AZ
86020,35.9922,-111.5038,Arizona,AZ
86022,36.9044,-112.4979,Arizona,AZ
86023,35.9421,-112.1309,Arizona,AZ
86024,34.6616,-111.3404,Arizona,AZ
86035,35.3365,-110.9927,Arizona,AZ
86036,36.737,-111.8229,Arizona,AZ
86038,34.9083,-111.463,Arizona,AZ
86040,36.9147,-111.4558,Arizona,AZ
86044,36.7093,-110.8411,Arizona,AZ
86045,36.1037,-111.2686,Arizona,AZ
86046,35.5434,-112.1707,Arizona,AZ
86052,36.2105,-112.0613,Arizona,AZ
86053,36.4025,-111.3518,Arizona,AZ
86336,34.8266,-111.7506,Arizona,AZ
86339,34.8697,-111.761,Arizona,AZ
86351,34.7784,-111.7851,Arizona,AZ
86435,36.2242,-112.6932,Arizona,AZ
85135,33.0041,-110.7868,Arizona,AZ
85192,33.0057,-110.7727,Arizona,AZ
85501,33.4024,-110.7892,Arizona,AZ
85502,33.3942,-110.7865,Arizona,AZ
85532,33.4154,-110.8149,Arizona,AZ
85539,33.3992,-110.8687,Arizona,AZ
85541,34.2198,-111.2878,Arizona,AZ
85542,33.3103,-110.4554,Arizona,AZ
85544,34.3435,-111.5353,Arizona,AZ
85545,33.6358,-110.9749,Arizona,AZ
85547,34.2575,-111.2878,Arizona,AZ
85550,33.3456,-110.455,Arizona,AZ
85553,33.8317,-111.2946,Arizona,AZ
85554,34.1014,-110.9637,Arizona,AZ
85530,33.1265,-110.117,Arizona,AZ
85531,32.8692,-109.7878,Arizona,AZ
85535,32.9612,-109.8954,Arizona,AZ
85536,33.0333,-109.9717,Arizona,AZ
85543,32.9097,-109.856,Arizona,AZ
85546,32.8295,-109.6266,Arizona,AZ
85548,32.797,-109.7522,Arizona,AZ
85551,32.8126,-109.634,Arizona,AZ
85552,32.8504,-109.7461,Arizona,AZ
85533,33.1323,-109.2462,Arizona,AZ
85534,32.881,-109.2157,Arizona,AZ
85540,33.0787,-109.3654,Arizona,AZ
85922,33.6512,-109.0685,Arizona,AZ
85325,33.9578,-114.0036,Arizona,AZ
85328,33.3164,-114.665,Arizona,AZ
85334,33.6177,-114.5077,Arizona,AZ
85344,34.15,-114.2891,Arizona,AZ
85346,33.7292,-114.1925,Arizona,AZ
85348,33.7481,-113.5715,Arizona,AZ
85357,34.0422,-113.458,Arizona,AZ
85359,33.6669,-114.2396,Arizona,AZ
85371,33.9906,-114.3963,Arizona,AZ
85001,33.4484,-112.074,Arizona,AZ
85002,33.4484,-112.074,Arizona,AZ
85003,33.4511,-112.0774,Arizona,AZ
85004,33.4557,-112.0686,Arizona,AZ
85005,33.4484,-112.074,Arizona,AZ
85006,33.465,-112.0474,Arizona,AZ
85007,33.4523,-112.0893,Arizona,AZ
85008,33.4665,-111.9984,Arizona,AZ
85009,33.4564,-112.1284,Arizona,AZ
85010,33.4484,-112.074,Arizona,AZ
85011,33.4484,-112.074,Arizona,AZ
85012,33.5097,-112.0678,Arizona,AZ
85013,33.5085,-112.0827,Arizona,AZ
85014,33.5103,-112.0556,Arizona,AZ
85015,33.5082,-112.1011,Arizona,AZ
85016,33.5021,-112.0305,Arizona,AZ
85017,33.5153,-112.1212,Arizona,AZ
85018,33.4958,-111.9883,Arizona,AZ
85019,33.5123,-112.1417,Arizona,AZ
85020,33.5623,-112.0559,Arizona,AZ
85021,33.56,-112.0927,Arizona,AZ
85022,33.6315,-112.052,Arizona,AZ
85023,33.6324,-112.1118,Arizona,AZ
85024,33.6617,-112.037,Arizona,AZ
85025,33.4484,-112.074,Arizona,AZ
85026,33.4484,-112.074,Arizona,AZ
85027,33.6819,-112.0996,Arizona,AZ
85028,33.5851,-112.0087,Arizona,AZ
85029,33.5961,-112.1199,Arizona,AZ
85030,33.4484,-112.074,Arizona,AZ
85031,33.4939,-112.1696,Arizona,AZ
85032,33.6238,-112.0044,Arizona,AZ
85033,33.4944,-112.2132,Arizona,AZ
85034,33.4413,-112.0421,Arizona,AZ
85035,33.4724,-112.1832,Arizona,AZ
85036,33.4484,-112.074,Arizona,AZ
85037,33.4913,-112.2468,Arizona,AZ
85038,33.4484,-112.074,Arizona,AZ
85039,33.4484,-112.074,Arizona,AZ
85040,33.4061,-112.0265,Arizona,AZ
85041,33.3889,-112.0954,Arizona,AZ
85042,33.3794,-112.0283,Arizona,AZ
85043,33.4491,-112.1972,Arizona,AZ
85044,33.3291,-111.9943,Arizona,AZ
85045,33.3022,-112.1226,Arizona,AZ
85046,33.4484,-112.074,Arizona,AZ
85048,33.316,-112.0669,Arizona,AZ
85050,33.6863,-111.9963,Arizona,AZ
85051,33.5591,-112.1332,Arizona,AZ
85053,33.6299,-112.1316,Arizona,AZ
85054,33.6731,-111.9461,Arizona,AZ
85060,33.4484,-112.074,Arizona,AZ
85061,33.4484,-112.074,Arizona,AZ
85062,33.4484,-112.074,Arizona,AZ
85063,33.4484,-112.074,Arizona,AZ
85064,33.4484,-112.074,Arizona,AZ
85065,33.4484,-112.074,Arizona,AZ
85066,33.4484,-112.074,Arizona,AZ
85067,33.4484,-112.074,Arizona,AZ
85068,33.4484,-112.074,Arizona,AZ
85069,33.4484,-112.074,Arizona,AZ
85070,33.4484,-112.074,Arizona,AZ
85071,33.4484,-112.074,Arizona,AZ
85072,33.4484,-112.074,Arizona,AZ
85073,33.4484,-112.074,Arizona,AZ
85074,33.4484,-112.074,Arizona,AZ
85075,33.4484,-112.074,Arizona,AZ
85076,33.4484,-112.074,Arizona,AZ
85078,33.4484,-112.074,Arizona,AZ
85079,33.4484,-112.074,Arizona,AZ
85080,33.4484,-112.074,Arizona,AZ
85082,33.4484,-112.074,Arizona,AZ
85083,33.7352,-112.1294,Arizona,AZ
85085,33.7529,-112.0893,Arizona,AZ
85086,33.8155,-112.1202,Arizona,AZ
85087,33.9235,-112.1279,Arizona,AZ
85097,33.4484,-112.074,Arizona,AZ
85098,33.4484,-112.074,Arizona,AZ
85127,33.2125,-111.697,Arizona,AZ
85142,33.2487,-111.6343,Arizona,AZ
85190,33.5264,-111.3892,Arizona,AZ
85201,33.4317,-111.8469,Arizona,AZ
