zip,lat,lon,state,state_code
99553,54.143,-165.7854,Alaska,AK
99571,55.1858,-162.7211,Alaska,AK
99583,54.8542,-163.4113,Alaska,AK
99612,55.0628,-162.3056,Alaska,AK
99661,55.3192,-160.4914,Alaska,AK
99546,51.874,-176.634,Alaska,AK
99547,52.1961,-174.2006,Alaska,AK
99591,56.5944,-169.6186,Alaska,AK
99638,52.9381,-168.8678,Alaska,AK
99660,57.1842,-170.2764,Alaska,AK
99685,53.8871,-166.5199,Alaska,AK
99692,53.8898,-166.5422,Alaska,AK
99501,61.2116,-149.8761,Alaska,AK
99502,61.1661,-149.96,Alaska,AK
99503,61.19,-149.8938,Alaska,AK
99504,61.2037,-149.7447,Alaska,AK
99505,59.8666,-158.5996,Alaska,AK
99506,59.8666,-158.5996,Alaska,AK
99507,61.1535,-149.8289,Alaska,AK
99508,61.206,-149.8101,Alaska,AK
99509,61.2181,-149.9003,Alaska,AK
99510,61.1446,-149.8784,Alaska,AK
99511,61.0683,-149.8005,Alaska,AK
99513,61.2149,-149.8862,Alaska,AK
99514,61.2181,-149.9003,Alaska,AK
99515,61.1194,-149.8974,Alaska,AK
99516,61.1054,-149.78,Alaska,AK
99517,61.1901,-149.9361,Alaska,AK
99518,61.1549,-149.8866,Alaska,AK
99519,61.1089,-149.4403,Alaska,AK
99520,61.2181,-149.9003,Alaska,AK
99521,61.2181,-149.9003,Alaska,AK
99522,61.2181,-149.9003,Alaska,AK
99523,61.2181,-149.9003,Alaska,AK
99524,61.2181,-149.9003,Alaska,AK
99529,61.1515,-149.9443,Alaska,AK
99530,61.1515,-149.9443,Alaska,AK
99540,61.1089,-149.4403,Alaska,AK
99567,61.4098,-149.4537,Alaska,AK
99577,61.3114,-149.5085,Alaska,AK
99587,60.9577,-149.1406,Alaska,AK
99599,61.1872,-149.8804,Alaska,AK
99695,61.1089,-149.4403,Alaska,AK
99545,59.9599,-162.8919,Alaska,AK
99551,60.9094,-161.4314,Alaska,AK
99552,60.9122,-161.2139,Alaska,AK
99557,61.5783,-159.5222,Alaska,AK
99559,60.7922,-161.7558,Alaska,AK
99561,60.1537,-164.2103,Alaska,AK
99575,61.8181,-158.0025,Alaska,AK
99578,60.2151,-162.0323,Alaska,AK
99589,59.1189,-161.5875,Alaska,AK
99607,61.541,-160.3261,Alaska,AK
99609,60.8956,-162.5181,Alaska,AK
99614,59.9232,-164.101,Alaska,AK
99621,60.8122,-161.4358,Alaska,AK
99622,59.8644,-163.1342,Alaska,AK
99626,61.5138,-160.36,Alaska,AK
99630,60.3657,-166.2836,Alaska,AK
99634,60.6967,-161.9519,Alaska,AK
99637,60.5338,-165.1037,Alaska,AK
99641,60.8969,-162.4594,Alaska,AK
99651,59.0131,-161.8164,Alaska,AK
99655,59.7381,-161.8749,Alaska,AK
99656,61.7611,-157.3125,Alaska,AK
99668,61.7025,-157.1697,Alaska,AK
99679,61.1088,-160.9389,Alaska,AK
99680,60.3431,-162.6631,Alaska,AK
99681,60.5856,-165.2558,Alaska,AK
99690,60.4794,-164.7239,Alaska,AK
99613,58.6883,-156.6614,Alaska,AK
99633,58.783,-156.8992,Alaska,AK
99670,58.6639,-156.9756,Alaska,AK
99574,60.5362,-145.7534,Alaska,AK
99677,60.8906,-146.6703,Alaska,AK
99686,61.101,-146.9,Alaska,AK
99693,60.7734,-148.6839,Alaska,AK
99566,61.5156,-144.4396,Alaska,AK
99573,61.977,-145.3297,Alaska,AK
99586,62.3014,-145.3027,Alaska,AK
99588,62.1039,-145.6617,Alaska,AK
99704,64.2966,-149.1608,Alaska,AK
99729,63.3955,-148.8973,Alaska,AK
99743,63.9171,-149.0111,Alaska,AK
99744,64.3442,-149.1869,Alaska,AK
99755,63.5436,-149.9867,Alaska,AK
99555,59.2697,-158.6199,Alaska,AK
99569,58.8173,-158.5299,Alaska,AK
99576,59.0402,-158.5231,Alaska,AK
99580,59.3628,-157.4782,Alaska,AK
99628,59.0096,-158.9897,Alaska,AK
99636,59.4882,-157.2905,Alaska,AK
99678,59.0619,-160.3764,Alaska,AK
99701,64.8378,-147.7164,Alaska,AK
99702,64.6735,-147.0805,Alaska,AK
99703,64.8283,-147.6557,Alaska,AK
99705,64.7805,-147.3694,Alaska,AK
99706,64.8521,-147.9377,Alaska,AK
99707,64.8378,-147.7164,Alaska,AK
99708,64.9475,-147.8564,Alaska,AK
99709,64.8544,-147.8469,Alaska,AK
99710,64.8378,-147.7164,Alaska,AK
99711,64.8378,-147.7164,Alaska,AK
99712,64.9109,-147.5105,Alaska,AK
99714,64.5091,-146.953,Alaska,AK
99716,64.8746,-146.8982,Alaska,AK
99725,64.871,-148.0949,Alaska,AK
99775,64.8591,-147.8267,Alaska,AK
99790,64.8378,-147.7164,Alaska,AK
99827,59.2519,-135.542,Alaska,AK
99820,57.5005,-134.586,Alaska,AK
99825,58.1944,-136.3433,Alaska,AK
99826,58.4284,-135.7615,Alaska,AK
99829,58.0977,-135.4316,Alaska,AK
99832,57.9608,-136.2275,Alaska,AK
99841,57.7808,-135.2189,Alaska,AK
99801,58.3628,-134.5294,Alaska,AK
99802,58.3019,-134.4197,Alaska,AK
99803,58.3019,-134.4197,Alaska,AK
99811,58.3019,-134.4197,Alaska,AK
99812,58.3271,-134.4742,Alaska,AK
99821,58.4494,-134.7003,Alaska,AK
99824,58.2756,-134.395,Alaska,AK
99850,58.3019,-134.4197,Alaska,AK
99556,59.8371,-151.7078,Alaska,AK
99568,60.2311,-151.3936,Alaska,AK
99572,60.4767,-149.8235,Alaska,AK
99603,59.5374,-151.2356,Alaska,AK
99605,60.8726,-149.4683,Alaska,AK
99610,60.3164,-151.2896,Alaska,AK
99611,60.6145,-151.2546,Alaska,AK
99631,60.6148,-149.4056,Alaska,AK
99635,60.7007,-151.2766,Alaska,AK
99639,60.0108,-151.6396,Alaska,AK
99663,59.4495,-151.7009,Alaska,AK
99664,60.1329,-149.3985,Alaska,AK
99669,60.4818,-151.1358,Alaska,AK
99672,60.5136,-150.8532,Alaska,AK
99682,61.0681,-151.1369,Alaska,AK
99901,55.372,-131.6832,Alaska,AK
99928,55.3954,-131.6754,Alaska,AK
99950,55.3422,-131.6478,Alaska,AK
99550,57.8675,-152.8822,Alaska,AK
99608,57.5689,-154.4551,Alaska,AK
99615,57.6036,-153.3751,Alaska,AK
99619,57.79,-152.4072,Alaska,AK
99624,57.54,-153.9786,Alaska,AK
99643,57.2028,-153.3039,Alaska,AK
99644,57.9236,-152.5022,Alaska,AK
99697,57.79,-152.4072,Alaska,AK
99554,62.6944,-164.6475,Alaska,AK
99563,61.529,-165.5905,Alaska,AK
99581,62.7818,-164.5335,Alaska,AK
99585,61.9287,-162.268,Alaska,AK
99604,61.527,-166.1151,Alaska,AK
99620,63.0295,-163.5542,Alaska,AK
99632,62.1123,-163.6644,Alaska,AK
99650,61.9462,-162.8747,Alaska,AK
99657,61.7744,-161.3939,Alaska,AK
99658,62.1172,-163.2376,Alaska,AK
99662,61.845,-165.5819,Alaska,AK
99666,62.5309,-164.8496,Alaska,AK
99548,56.2448,-158.7578,Alaska,AK
99549,56.9643,-158.5664,Alaska,AK
99564,56.3016,-158.4157,Alaska,AK
99565,58.2687,-156.6484,Alaska,AK
99579,58.2062,-157.3422,Alaska,AK
99606,59.7525,-154.8236,Alaska,AK
99625,59.2905,-156.6503,Alaska,AK
99640,59.9736,-154.8458,Alaska,AK
99647,59.8681,-154.0757,Alaska,AK
99648,55.9453,-159.2593,Alaska,AK
99649,57.5642,-157.5792,Alaska,AK
99653,60.2025,-154.3128,Alaska,AK
